DATE,OCM1P
1998-01-01,0.0585
1998-02-01,0.0582
1998-03-01,0.0587
1998-04-01,0.0589
1998-05-01,0.0593
1998-06-01,0.0591
1998-07-01,0.0591
1998-08-01,0.0588
1998-09-01,0.0582
1998-10-01,0.0556
1998-11-01,0.0558
1998-12-01,0.0581
1999-01-01,0.0531
1999-02-01,0.0536
1999-03-01,0.0539
1999-04-01,0.0536
1999-05-01,0.0545
1999-06-01,0.0571
1999-07-01,0.0596
1999-08-01,0.0618
1999-09-01,0.0626
1999-10-01,0.0645
1999-11-01,0.0636
1999-12-01,0.0663
2000-01-01,0.0649
2000-02-01,0.066
2000-03-01,0.067
2000-04-01,0.068
2000-05-01,0.0721
2000-06-01,0.0719
2000-07-01,0.0709
2000-08-01,0.07
2000-09-01,0.0694
2000-10-01,0.0693
2000-11-01,0.0691
2000-12-01,0.0688
2001-01-01,0.0636
2001-02-01,0.0592
2001-03-01,0.0576
2001-04-01,0.0533
2001-05-01,0.0479
2001-06-01,0.0454
2001-07-01,0.0437
2001-08-01,0.0427
2001-09-01,0.0392
2001-10-01,0.0336
2001-11-01,0.0302
2001-12-01,0.0289
2002-01-01,0.0282
2002-02-01,0.0278
2002-03-01,0.0294
2002-04-01,0.0291
2002-05-01,0.0279
2002-06-01,0.0276
2002-07-01,0.0272
2002-08-01,0.0259
2002-09-01,0.0259
2002-10-01,0.0258
2002-11-01,0.0232
2002-12-01,0.0225
2003-01-01,0.0226
2003-02-01,0.0222
2003-03-01,0.0215
2003-04-01,0.0212
2003-05-01,0.0212
2003-06-01,0.0207
2003-07-01,0.0194
2003-08-01,0.0201
2003-09-01,0.0201
2003-10-01,0.0202
2003-11-01,0.0205
2003-12-01,0.0205
2004-01-01,0.02
2004-02-01,0.0199
2004-03-01,0.0197
2004-04-01,0.0209
2004-05-01,0.0233
2004-06-01,0.0262
2004-07-01,0.0271
2004-08-01,0.0274
2004-09-01,0.0289
2004-10-01,0.0302
2004-11-01,0.0328
2004-12-01,0.0346
2005-01-01,0.0364
2005-02-01,0.0378
2005-03-01,0.04
2005-04-01,0.041
2005-05-01,0.0419
2005-06-01,0.043
2005-07-01,0.0452
2005-08-01,0.0469
2005-09-01,0.047
2005-10-01,0.0499
2005-11-01,0.0519
2005-12-01,0.0529
2006-01-01,0.0535
2006-02-01,0.0552
2006-03-01,0.0564
2006-04-01,0.0578
2006-05-01,0.0585
2006-06-01,0.0604
2006-07-01,0.0611
2006-08-01,0.0601
2006-09-01,0.0595
2006-10-01,0.0594
2006-11-01,0.0593
2006-12-01,0.0591
2007-01-01,0.0594
2007-02-01,0.0594
2007-03-01,0.0591
2007-04-01,0.0591
2007-05-01,0.0592
2007-06-01,0.0595
2007-07-01,0.0593
2007-08-01,0.0609
2007-09-01,0.0609
2007-10-01,0.0574
2007-11-01,0.0563
2007-12-01,0.0582
2008-01-01,0.0468
2008-02-01,0.0394
2008-03-01,0.0367
2008-04-01,0.0384
2008-05-01,0.0378
2008-06-01,0.0402
2008-07-01,0.0406
2008-08-01,0.0415
2008-09-01,0.0487
2008-10-01,0.059
2008-11-01,0.0456
2008-12-01,0.0378
2009-01-01,0.0326
2009-02-01,0.0337
2009-03-01,0.0324
2009-04-01,0.031
2009-05-01,0.0284
2009-06-01,0.0242
2009-07-01,0.0211
2009-08-01,0.0193
2009-09-01,0.0177
2009-10-01,0.0173
2009-11-01,0.0169
2009-12-01,0.0165
2010-01-01,0.0164
2010-02-01,0.0161
2010-03-01,0.0158
2010-04-01,0.0156
2010-05-01,0.0162
2010-06-01,0.0169
2010-07-01,0.0166
2010-08-01,0.0158
2010-09-01,0.0155
2010-10-01,0.0154
2010-11-01,0.0155
2010-12-01,0.0151
2011-01-01,0.0149
2011-02-01,0.0151
2011-03-01,0.0151
2011-04-01,0.0149
2011-05-01,0.0148
2011-06-01,0.0147
2011-07-01,0.0146
2011-08-01,0.0147
2011-09-01,0.0155
2011-10-01,0.0163
2011-11-01,0.0164
2011-12-01,0.0167
2012-01-01,0.0167
2012-02-01,0.0164
2012-03-01,0.016
2012-04-01,0.016
2012-05-01,0.0159
2012-06-01,0.0158
2012-07-01,0.0159
2012-08-01,0.0159
2012-09-01,0.0155
2012-10-01,0.0153
2012-11-01,0.0152
2012-12-01,0.015
2013-01-01,0.0146
2013-02-01,0.0142
2013-03-01,0.014
2013-04-01,0.0139
2013-05-01,0.0138
2013-06-01,0.0138
2013-07-01,0.0138
2013-08-01,0.0138
2013-09-01,0.0138
2013-10-01,0.0138
2013-11-01,0.0138
2013-12-01,0.0138
